code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
9837,モリト,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9842,アークランドサカモト,市場第一部（内国株）,6100,小売業,14,小売,6,TOPIX Small 1
9843,ニトリホールディングス,市場第一部（内国株）,6100,小売業,14,小売,2,TOPIX Large70
9845,パーカーコーポレーション,市場第二部（内国株）,3200,化学,4,素材・化学,,
9846,天満屋ストア,市場第二部（内国株）,6100,小売業,14,小売,,
9849,共同紙販ホールディングス,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9850,グルメ杵屋,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9852,ＣＢグループマネジメント,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9853,銀座ルノアール,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9854,愛眼,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9856,ケーユーホールディングス,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9857,英和,市場第二部（内国株）,6050,卸売業,13,商社・卸売,,
9861,吉野家ホールディングス,市場第一部（内国株）,6100,小売業,14,小売,4,TOPIX Mid400
9867,ソレキア,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9869,加藤産業,市場第一部（内国株）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
9872,北恵,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9873,日本ＫＦＣホールディングス,市場第二部（内国株）,6100,小売業,14,小売,,
9876,コックス,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9878,セキド,市場第二部（内国株）,6100,小売業,14,小売,,
9880,イノテック,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9882,イエローハット,市場第一部（内国株）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
9885,シャルレ,市場第二部（内国株）,6050,卸売業,13,商社・卸売,,
9887,松屋フーズホールディングス,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9888,ＵＥＸ,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9889,ＪＢＣＣホールディングス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
9890,マキヤ,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9895,コンセック,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9896,ＪＫホールディングス,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9900,サガミホールディングス,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9902,日伝,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9903,カンセキ,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9904,ベリテ,市場第二部（内国株）,6100,小売業,14,小売,,
9906,藤井産業,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9908,日本電計,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9909,愛光電気,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9913,日邦産業,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9914,植松商会,JASDAQ(スタンダード・内国株）,6050,卸売業,13,商社・卸売,,
9919,関西スーパーマーケット,市場第一部（内国株）,6100,小売業,14,小売,7,TOPIX Small 2
9927,ワットマン,JASDAQ(スタンダード・内国株）,6100,小売業,14,小売,,
9928,ミロク情報サービス,市場第一部（内国株）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
9929,平和紙業,市場第二部（内国株）,6050,卸売業,13,商社・卸売,,
9930,北沢産業,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
9932,杉本商事,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
